case,num_cores,makespan_noL2,makespan_L2,added_noL2,added_L2,cache_hit_rate,cache_speedup
case_026,1,99203,99203,0,0,0.0,1.0
case_026,2,48612,48612,218548,218548,0.2688,1.0
case_026,3,43697,43665,442560,442560,0.3486,1.0007
case_026,4,42792,38710,1154292,1154292,0.4616,1.1055
case_026,5,44715,42380,1216388,1216388,0.4685,1.0551
case_027,1,2363952,2359515,1400832,1400832,0.2689,1.0019
case_027,2,1115722,1115722,1105920,1105920,0.0,1.0
case_027,3,811250,811250,13154304,13154304,0.3446,1.0
case_027,4,559196,559196,3317760,3317760,0.0,1.0
case_027,5,533784,533784,18898944,18898944,0.3904,1.0
case_028,1,43836040,43836040,277412256,277412256,0.0,1.0
case_028,2,20028806,20009296,20677824,20677824,0.139,1.001
case_028,3,13289382,13270473,11546880,11546880,0.3595,1.0014
case_028,4,10099681,10080305,11508096,11508096,0.1651,1.0019
case_028,5,8055128,7991196,12550656,12550656,0.4413,1.008
case_029,1,37555,37555,0,0,0.0,1.0
case_029,2,19740,19740,0,0,0.0,1.0
case_029,3,12743,12743,0,0,0.0,1.0
case_029,4,11028,11028,0,0,0.0,1.0
case_029,5,9383,9383,0,0,0.0,1.0
case_030,1,2808034,2807891,5519360,5519360,0.2599,1.0001
case_030,2,1399993,1399744,7834624,7834624,0.4435,1.0002
case_030,3,931329,931340,9363456,9363456,0.5443,1.0
case_030,4,699751,699009,8838144,8838144,0.6505,1.0011
case_030,5,561417,560550,11588608,11588608,0.5942,1.0015
case_031,1,1414369,1414159,3491328,3491328,0.2606,1.0001
case_031,2,711725,710284,4032000,4032000,0.3395,1.002
case_031,3,506462,506212,4403712,4403712,0.4569,1.0005
case_031,4,367052,367052,4574208,4574208,0.3722,1.0
case_031,5,293958,293738,4816896,4816896,0.3212,1.0007
case_032,1,41443,41443,0,0,0.0,1.0
case_032,2,21098,20940,168116,168116,0.3337,1.0075
case_032,3,12670,12612,205008,205008,0.419,1.0046
case_032,4,11974,11709,248072,248072,0.4587,1.0226
case_032,5,10976,10930,116890,116890,0.295,1.0042
case_033,1,1774196,1774080,4592640,4592640,0.0963,1.0001
case_033,2,894566,893649,6224928,6224928,0.3115,1.001
case_033,3,589568,588351,7086144,7086144,0.3501,1.0021
case_033,4,446802,445198,7344224,7344224,0.3693,1.0036
case_033,5,357201,356085,8111232,8111232,0.3683,1.0031
case_034,1,842996,842733,1079832,1079832,0.309,1.0003
case_034,2,412272,412214,1238528,1238528,0.3503,1.0001
case_034,3,272649,272476,2328576,2328576,0.5033,1.0006
case_034,4,215722,215630,3019264,3019264,0.5484,1.0004
case_034,5,165596,164310,4801550,4801550,0.4427,1.0078
case_035,1,169571,169571,0,0,0.0,1.0
case_035,2,103111,103075,494734,494734,0.289,1.0003
case_035,3,78824,78754,765572,765572,0.4268,1.0009
case_035,4,78073,77573,1128234,1128234,0.5541,1.0064
case_035,5,64436,63503,1160968,1160968,0.5485,1.0147
case_036,1,931510,931510,0,0,0.0,1.0
case_036,2,466068,466068,1152,1152,0.0,1.0
case_036,3,311345,311345,2304,2304,0.0,1.0
case_036,4,233584,233584,3456,3456,0.0,1.0
case_036,5,187182,187182,4608,4608,0.0,1.0
case_037,1,210001,210001,0,0,0.0,1.0
case_037,2,105374,105374,204800,204800,0.0,1.0
case_037,3,74038,74038,1064960,1064960,0.5897,1.0
case_037,4,53320,53320,614400,614400,0.0,1.0
case_037,5,43800,43013,1925120,1925120,0.6425,1.0183
case_038,1,1364555,1363312,5627904,5627904,0.1736,1.0009
case_038,2,679097,678831,5607936,5607936,0.191,1.0004
case_038,3,461374,460965,5988864,5988864,0.333,1.0009
case_038,4,345585,344211,6024192,6024192,0.4675,1.004
case_038,5,275584,271662,9409536,9409536,0.3938,1.0144
case_039,1,1435262,1435262,7929856,7929856,0.0,1.0
case_039,2,708561,705615,11067392,11067392,0.3702,1.0042
case_039,3,485565,483226,14323712,14323712,0.386,1.0048
case_039,4,395323,368055,17604608,17604608,0.4782,1.0741
case_039,5,327297,327297,8065024,8065024,0.0,1.0
case_040,1,253454,253454,0,0,0.0,1.0
case_040,2,135293,135291,773554,773554,0.2418,1.0
case_040,3,128195,127473,2840290,2840290,0.3278,1.0057
case_040,4,112795,106160,3121596,3121596,0.4146,1.0625
case_040,5,132770,131798,2324204,2324204,0.3607,1.0074
case_041,1,6003957,6001575,30898176,30898176,0.1016,1.0004
case_041,2,2986534,2981380,33595392,33595392,0.1996,1.0017
case_041,3,1994174,1990580,35017728,35017728,0.2666,1.0018
case_041,4,1496957,1493320,38879232,38879232,0.3305,1.0024
case_041,5,1193573,1191841,40452096,40452096,0.3263,1.0015
case_042,1,1686740,1675633,6629376,6629376,0.3187,1.0066
case_042,2,842623,840543,7265568,7265568,0.356,1.0025
case_042,3,579300,576523,8405280,8405280,0.431,1.0048
case_042,4,434592,434480,8503584,8503584,0.4512,1.0003
case_042,5,355514,351874,8905092,8905092,0.6541,1.0103
case_043,1,677656,677656,49160,49160,0.0332,1.0
case_043,2,327858,327792,1884268,1884268,0.3184,1.0002
case_043,3,230016,229480,3085000,3085000,0.4567,1.0023
case_043,4,205499,204676,4132756,4132756,0.4929,1.004
case_043,5,180949,171690,5217408,5217408,0.5395,1.0539
case_044,1,154407,107814,4438112,4438112,0.82,1.4322
case_044,2,43959,43910,930400,930400,0.0015,1.0011
case_044,3,57517,51670,1353664,1353664,0.3766,1.1132
case_044,4,85675,40054,3517344,3517344,0.7325,2.139
case_044,5,94707,43421,4244608,4244608,0.7804,2.1811
case_045,1,125614,125614,0,0,0.0,1.0
case_045,2,63059,63059,0,0,0.0,1.0
case_045,3,42601,42601,0,0,0.0,1.0
case_045,4,31878,31878,0,0,0.0,1.0
case_045,5,26088,26088,0,0,0.0,1.0
case_046,1,276455,244994,3176288,3176288,0.753,1.1284
case_046,2,105718,105718,930400,930400,0.0,1.0
case_046,3,105663,102704,2064576,2064576,0.3826,1.0288
case_046,4,102426,85582,4044576,4044576,0.3337,1.1968
case_046,5,119107,86682,4430720,4430720,0.6316,1.3741
case_047,1,326508,326508,0,0,0.0,1.0
case_047,2,156922,156919,794950,794950,0.1641,1.0
case_047,3,122587,122464,1239692,1239692,0.2798,1.001
case_047,4,113671,112730,1947090,1947090,0.2886,1.0083
case_047,5,102458,99665,2584600,2584600,0.42,1.028
case_048,1,222220,222220,0,0,0.0,1.0
case_048,2,159142,159138,233030,233030,0.0011,1.0
case_048,3,149061,149071,576140,576140,0.0755,0.9999
case_048,4,143466,142969,1756370,1756370,0.2471,1.0035
case_048,5,150464,149778,1584312,1584312,0.2361,1.0046
case_049,1,196276,196276,0,0,0.0,1.0
case_049,2,100467,100433,319282,319282,0.0848,1.0003
case_049,3,81125,81123,497688,497688,0.267,1.0
case_049,4,61217,60474,751934,751934,0.3762,1.0123
case_049,5,59412,58817,872740,872740,0.4406,1.0101
case_050,1,149690,149690,0,0,0.0,1.0
case_050,2,80347,80346,272582,272582,0.2574,1.0
case_050,3,55518,55445,481660,481660,0.3456,1.0013
case_050,4,43625,43605,571290,571290,0.3522,1.0005
case_050,5,45760,45186,774560,774560,0.4635,1.0127
case_051,1,607628,607628,0,0,0.0,1.0
case_051,2,607628,607628,0,0,0.0,1.0
case_051,3,488714,486166,11404308,11404308,0.1061,1.0052
case_051,4,345402,344572,2228604,2228604,0.2308,1.0024
case_051,5,382336,377581,9176852,9176852,0.2613,1.0126
case_052,1,180301,180301,0,0,0.0,1.0
case_052,2,71775,71775,73728,73728,0.0521,1.0
case_052,3,48446,48446,147456,147456,0.0818,1.0
case_052,4,37215,37215,221184,221184,0.1341,1.0
case_052,5,30477,30477,294912,294912,0.1418,1.0
case_053,1,1472686,1428109,5405536,5405536,0.6249,1.0312
case_053,2,703950,703878,2184118,2184118,0.2755,1.0001
case_053,3,553159,553159,2848940,2848940,0.4222,1.0
case_053,4,451846,424896,12542018,12542018,0.3695,1.0634
case_053,5,392998,365951,14846008,14846008,0.2954,1.0739
