case,problem,num_cores,makespan,speedup,added_copy_bytes,cache_hit_rate,n_subgraphs,plan
case_022,2,2,28498,1.9924,0,,28,results\final_plans\p2\n2\case_022_multicore_res.json
case_022,2,3,19193,2.9584,112516,,15,results\final_plans\p2\n3\case_022_multicore_res.json
case_022,2,4,14940,3.8005,0,,4,results\final_plans\p2\n4\case_022_multicore_res.json
case_022,2,5,12527,4.5326,0,,5,results\final_plans\p2\n5\case_022_multicore_res.json
case_022,3,2,28498,1.9924,0,0.0,28,results\final_plans\p3\n2\case_022_multicore_res.json
case_022,3,3,19192,2.9585,112516,0.3448326635786374,15,results\final_plans\p3\n3\case_022_multicore_res.json
case_022,3,4,14940,3.8005,0,0.0,4,results\final_plans\p3\n4\case_022_multicore_res.json
case_022,3,5,12527,4.5326,0,0.0,5,results\final_plans\p3\n5\case_022_multicore_res.json
case_023,1,2,60749,2.0184,0,,2,results\final_plans\p1\n2\case_023_multicore_res.json
case_023,1,3,41575,2.9492,147456,,3,results\final_plans\p1\n3\case_023_multicore_res.json
case_023,1,4,30864,3.9727,147456,,4,results\final_plans\p1\n4\case_023_multicore_res.json
case_023,1,5,24927,4.9189,221184,,5,results\final_plans\p1\n5\case_023_multicore_res.json
case_023,2,2,59760,2.0518,741562,,12,results\final_plans\p2\n2\case_023_multicore_res.json
case_023,2,3,41575,2.9492,147456,,3,results\final_plans\p2\n3\case_023_multicore_res.json
case_023,2,4,30864,3.9727,147456,,4,results\final_plans\p2\n4\case_023_multicore_res.json
case_023,2,5,24927,4.9189,221184,,5,results\final_plans\p2\n5\case_023_multicore_res.json
case_023,3,2,59760,2.0518,741562,0.16612365233716406,12,results\final_plans\p3\n2\case_023_multicore_res.json
case_023,3,3,41575,2.9492,147456,0.25354466640760137,3,results\final_plans\p3\n3\case_023_multicore_res.json
case_023,3,4,30864,3.9727,147456,0.25354466640760137,4,results\final_plans\p3\n4\case_023_multicore_res.json
case_023,3,5,24927,4.9189,221184,0.22501854095643867,5,results\final_plans\p3\n5\case_023_multicore_res.json
case_024,1,2,2555343,1.0,0,,1,results\final_plans\p1\n2\case_024_multicore_res.json
case_024,1,3,2473380,1.0331,61410808,,474,results\final_plans\p1\n3\case_024_multicore_res.json
case_024,1,4,2359817,1.0829,67376908,,763,results\final_plans\p1\n4\case_024_multicore_res.json
