case,problem,num_cores,match,cli_makespan,expected_makespan,cli_added_copy_bytes,expected_added_copy_bytes,cli_hit_rate,expected_hit_rate,cli_seconds,error
case_077,1,4,True,161888,161888,1359978,1359978,,,1.2,
case_078,1,4,True,679519,679519,11965008,11965008,,,0.4,
case_079,1,4,True,7635624,7635624,30445568,30445568,,,77.8,
case_080,1,4,True,91350,91350,1667072,1667072,,,0.4,
case_081,1,4,True,39588,39588,0,0,,,1.2,
case_082,1,4,True,249866,249866,2698382,2698382,,,1.2,
case_083,1,4,True,395632,395632,12578112,12578112,,,1.5,
case_084,1,4,True,629028,629028,0,0,,,12.4,
case_085,1,4,True,948232,948232,8025052,8025052,,,7.7,
case_086,1,4,True,56811,56811,1738222,1738222,,,1.2,
case_087,1,4,True,1152694,1152694,22261304,22261304,,,27.0,
case_088,1,4,True,115533,115533,1848762,1848762,,,0.8,
case_089,1,4,True,175600,175600,1033600,1033600,,,1.8,
case_090,1,4,True,506027,506027,21721008,21721008,,,0.5,
case_091,1,4,True,2321866,2321866,69020832,69020832,,,1508.2,
case_092,1,4,True,1527185,1527185,44909472,44909472,,,48.6,
case_093,1,4,True,19779,19779,24576,24576,,,0.3,
case_094,1,4,True,24860,24860,318816,318816,,,0.3,
case_095,1,4,True,518918,518918,18284544,18284544,,,2.2,
case_096,1,4,True,38923,38923,1295704,1295704,,,0.4,
case_097,1,4,True,2583836,2583836,14483456,14483456,,,1.7,
case_098,1,4,True,82843,82843,2377992,2377992,,,0.5,
case_099,1,4,True,407859,407859,9818112,9818112,,,15.1,
case_100,1,4,True,58085,58085,0,0,,,0.6,
case_001,1,5,True,47502,47502,4608,4608,,,0.3,
case_002,1,5,True,56971,56971,112128,112128,,,0.5,
case_003,1,5,True,224860,224860,4539968,4539968,,,3.7,
case_004,1,5,True,88341,88341,442368,442368,,,0.3,
case_005,1,5,True,51248,51248,1263492,1263492,,,1.2,
case_006,1,5,True,28796,28796,377182,377182,,,0.3,
case_007,1,5,True,203834,203834,110592,110592,,,1.1,
case_008,1,5,True,100500,100500,811008,811008,,,0.3,
case_009,1,5,True,68190,68190,825050,825050,,,1.3,
case_010,1,5,True,27970,27970,455990,455990,,,0.3,
case_011,1,5,True,46777,46777,1216512,1216512,,,0.3,
case_012,1,5,True,18241,18241,101380,101380,,,0.4,
case_013,1,5,True,54363,54363,32768,32768,,,0.7,
case_014,1,5,True,3722693,3722693,70838688,70838688,,,1519.9,
case_015,1,5,True,53003,53003,461872,461872,,,0.5,
case_016,1,5,True,6919582,6919582,154476142,154476142,,,17.6,
case_017,1,5,True,35157,35157,327168,327168,,,0.6,
case_018,1,5,True,204554,204554,3661824,3661824,,,1.7,
case_019,1,5,True,23617,23617,248220,248220,,,0.3,
case_020,1,5,True,107574,107574,0,0,,,1.8,
case_021,1,5,True,1249504,1249504,8908800,8908800,,,1.0,
case_022,1,5,True,14940,14940,0,0,,,0.6,
case_023,1,5,True,24927,24927,221184,221184,,,0.4,
case_024,1,5,True,2053364,2053364,67770326,67770326,,,4.6,
case_025,1,5,True,975282,975282,110592,110592,,,41.5,
case_026,1,5,True,45344,45344,419892,419892,,,0.3,
case_027,1,5,True,520248,520248,12343296,12343296,,,0.8,
case_028,1,5,True,10194624,10194624,326568960,326568960,,,5.0,
case_029,1,5,True,9383,9383,0,0,,,0.3,
case_030,1,5,True,561417,561417,11588608,11588608,,,57.5,
case_031,1,5,True,293945,293945,4911428,4911428,,,4.4,
case_032,1,5,True,11904,11904,127130,127130,,,0.3,
case_033,1,5,True,357201,357201,8111232,8111232,,,3.5,
case_034,1,5,True,180411,180411,3532800,3532800,,,3.4,
case_035,1,5,True,89476,89476,1821886,1821886,,,1.2,
case_036,1,5,True,187182,187182,4608,4608,,,0.9,
case_037,1,5,True,43013,43013,1310720,1310720,,,0.3,
case_038,1,5,True,275584,275584,9409536,9409536,,,14.7,
case_039,1,5,True,326287,326287,12304384,12304384,,,8.1,
case_040,1,5,True,110202,110202,0,0,,,1.5,
case_041,1,5,True,1192316,1192316,37172224,37172224,,,95.5,
case_042,1,5,True,351352,351352,9736192,9736192,,,6.0,
case_043,1,5,True,208601,208601,5033556,5033556,,,2.5,
case_044,1,5,True,96401,96401,1283040,1283040,,,0.4,
case_045,1,5,True,26088,26088,0,0,,,0.4,
case_046,1,5,True,115384,115384,4554048,4554048,,,0.4,
case_047,1,5,True,134932,134932,2310282,2310282,,,3.4,
case_048,1,5,True,202773,202773,620994,620994,,,0.6,
case_049,1,5,True,69579,69579,891320,891320,,,1.1,
case_050,1,5,True,57813,57813,735830,735830,,,1.0,
