case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_001,3,3,5,capls,c0,0,0.093,0.077,True,47502,4608,4608,0,1644160,0.0,0,5,233110,,4.9073723211654245,"{""block_cap"": 0.35}",True,
case_001,3,3,5,capls,c1,0,0.091,0.077,True,47502,4608,4608,0,1644160,0.0,0,5,233110,,4.9073723211654245,"{""block_cap"": 0.15}",False,
case_001,3,3,5,capls,c2,0,0.09,0.077,True,47502,4608,4608,0,1644160,0.0,0,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,3,3,5,capls,c3,0,0.085,0.082,True,47502,4608,4608,0,1644160,0.0,0,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,3,3,5,capls,c4,0,0.088,0.088,True,47502,4608,4608,0,1644160,0.0,0,200,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_001,3,3,5,capls,c5,0,0.082,0.088,True,47502,4608,4608,0,1644160,0.0,0,200,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_001,3,3,5,capls,c6,0,0.089,0.077,True,47502,4608,4608,0,1644160,0.0,0,5,233110,,4.9073723211654245,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_001,3,3,5,capls,c7,0,0.069,0.077,True,47502,4608,4608,0,1644160,0.0,0,5,233110,,4.9073723211654245,"{""block_cap"": 0.08}",False,
case_001,3,3,5,capls,c8,0,0.256,0.152,True,73418,1933824,1933824,0,3573376,0.3046140787000546,643072,6,233110,,3.175106922008227,"{""block_cap"": 0.005}",False,
case_001,3,3,5,capls,c9,0,0.106,0.077,True,47502,4608,4608,0,1644160,0.0,0,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_001,3,3,5,capls,c10,0,0.054,0.075,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""cores_used"": 4}",False,
case_001,3,3,5,capls,c11,0,0.048,0.077,True,47502,4608,4608,0,1644160,0.0,0,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_001,3,2,5,capls,_best,0,0.069,0.096,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n5_capls_best.json
case_001,3,3,5,capls,_best,0,0.069,0.077,True,47502,4608,4608,0,1644160,0.0,0,5,233110,,4.9073723211654245,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n5_capls_best.json
case_006,3,3,2,capls,c0,0,0.028,0.13,True,49331,364344,364344,0,907692,0.38222182576408015,342788,5,82837,,1.6792078003689364,"{""block_cap"": 0.35}",False,
case_006,3,3,2,capls,c1,0,0.027,0.13,True,50823,537418,537418,0,1080766,0.3442773713101851,337670,9,82837,,1.6299116541723235,"{""block_cap"": 0.15}",False,
case_006,3,3,2,capls,c2,0,0.042,0.11,True,54853,358982,358982,0,902330,0.26275433557272826,218630,6,82837,,1.510163527974769,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
