case,num_cores,makespan,official_hit_bytes,official_miss_bytes,hit_rate,hit_input_reuse,hit_spill_reload,hit_cross_core_mid,miss_first_miss,miss_oversize,miss_concurrent_first_read,miss_fifo_evicted
case_029,3,12743,0,258132,0.0,0,0,0,258132,0,0,0
case_030,3,931340,6398976,5357568,0.5442905670237784,6398976,0,0,2393088,0,53248,2911232
case_031,3,478086,2142720,4881012,0.30506858746888404,2142720,0,0,2315892,0,0,2565120
case_032,3,12612,202856,281240,0.4190408514013749,202824,0,32,279192,0,2048,0
case_033,3,588351,3492384,6483536,0.3500813960015718,3492384,0,0,2889776,0,2592,3591168
case_034,3,272476,2319360,2289200,0.503272171784679,2319360,0,0,2279984,0,9216,0
case_035,3,78754,401716,539522,0.42679534825410786,314956,0,86760,527234,0,12288,0
case_036,3,311345,0,3280256,0.0,0,0,0,3277952,0,2304,0
case_037,3,72874,755712,681984,0.5256410256410257,755712,0,0,630784,0,51200,0
case_038,3,456400,2813952,6922762,0.28900427803466344,2813952,0,0,2864650,0,0,4058112
case_039,3,481303,2846720,11321344,0.2009251228678809,2846720,0,0,4349952,0,0,6971392
case_040,3,110105,0,911174,0.0,0,0,0,911174,0,0,0
case_041,3,1990580,10653696,29313024,0.2665641813989239,10653696,0,0,4948992,0,110592,24253440
case_042,3,569525,3314688,6460192,0.33910267952138545,3314688,0,0,2700064,0,116736,3643392
case_043,3,229480,1704392,2027308,0.45673339228769727,1427704,0,276688,1886892,0,113280,27136
case_044,3,43910,2848,1880480,0.0015122166717640262,2848,0,0,952928,0,927552,0
case_045,3,42601,0,278528,0.0,0,0,0,278528,0,0,0
case_046,3,102704,962624,1553632,0.3825620286648099,956480,0,6144,1517664,0,19584,16384
case_047,3,122464,330444,850438,0.2798281284666885,178764,0,151680,759750,0,90688,0
case_048,3,149071,52876,647750,0.07546965142601045,4748,0,48128,612934,0,34816,0
case_049,3,81123,113548,311646,0.2670498642972384,40492,0,73056,284990,0,26656,0
case_050,3,55445,223796,423796,0.3455817860628297,171692,0,52104,409044,0,14752,0
case_051,3,483306,655406,5505510,0.10638125889072339,655360,0,46,5374438,0,0,131072
case_052,3,48446,78336,879164,0.08181305483028721,78336,0,0,810044,0,69120,0
case_053,3,553159,2312582,3164668,0.4222158930120042,2310998,0,1584,3163942,0,576,150
case_054,3,342219,465926,2072520,0.18354772959519328,192582,0,273344,1999238,0,65088,8194
case_055,3,33559,99328,625692,0.13700035861079696,99328,0,0,625692,0,0,0
case_056,3,90592,235188,432126,0.35243978097267553,119852,0,115336,403422,0,28704,0
case_057,3,21007,488954,359670,0.5761727219593129,488916,0,38,351476,0,8194,0
case_058,3,1496185,16052224,21585920,0.42648819240396124,16052224,0,0,6819840,0,0,14766080
case_059,3,254656,2498560,1579008,0.6127574083375188,2498560,0,0,1482752,0,71680,24576
case_060,3,298831,2466944,2796200,0.4687205974223772,2466944,0,0,2098728,0,4096,693376
case_061,3,29381,160950,554952,0.22482127442024188,160914,0,36,551752,0,3200,0
case_062,3,954215,4608,13418496,0.00034328870580157915,4608,0,0,13418496,0,0,0
case_063,3,344374,990720,7512576,0.11651011560693642,990720,0,0,5655552,0,0,1857024
case_064,3,11407,22796,70502,0.24433535552744967,7212,0,15584,58950,0,11552,0
case_065,3,14937,0,327368,0.0,0,0,0,299720,0,27648,0
case_066,3,142969,413992,1487564,0.21771223145676488,195480,0,218512,1320204,0,167360,0
case_067,3,20084166,7440896,6550144,0.5318329445130597,7440896,0,0,6547840,0,2304,0
case_068,3,147814,686140,3664046,0.1577265891619347,506524,0,179616,3027630,0,634880,1536
case_069,3,12005,106986,218936,0.32825645399819586,84586,0,22400,212694,0,6242,0
case_070,3,40551,53248,542738,0.08934438057269802,53248,0,0,419858,0,122880,0
case_071,3,10636,50780,196566,0.20529945905735286,40140,0,10640,191958,0,4608,0
case_072,3,7989837,18849890,111897202,0.14417062522507193,18849842,0,48,11139854,0,0,100757348
